Team	Colorado	Columbus	DC	Dallas	KansasCity	LA	MetroStars	NewEngland	SanJose	TampaBay
Colorado	0	2.5	0.5	2.5	2	2	1	1.5	0	0
Columbus	0.5	0	2	1	2.5	1.5	2	3	1.5	1.5
DC	2.5	2	0	2.5	0	1	2.5	2.5	1	3
Dallas	1.5	2	1.5	0	3	2	0.5	1	2.5	2
KansasCity	2	1.5	3	1	0	2	1.5	2.5	2	0
LA	2	1.5	2	2	2	0	3	1.5	3.5	1.5
MetroStars	2	2	1.5	2.5	1.5	1	0	1.5	2	0.5
NewEngland	1.5	1	1.5	2	0.5	1.5	2.5	0	1.5	1
SanJose	4	1.5	2	1.5	2	0.5	1	2.5	0	1.5
TampaBay	4	2.5	1	1	3	1.5	3.5	3	1.5	0
