Si IV 1394 data	
194.855	1.000
196.518	1.000
198.181	1.000
199.844	1.000
201.507	1.000
203.170	1.000
204.833	1.000
206.495	1.000
208.158	1.000
209.821	1.000
211.483	1.000
213.146	1.000
214.809	1.000
216.472	1.000
218.135	1.000
219.797	1.000
221.460	1.000
223.123	1.000
224.784	1.000
226.447	1.000
228.110	1.000
229.772	1.000
231.435	1.000
233.097	1.000
234.760	1.000
236.423	1.000
238.085	1.000
239.748	1.000
241.410	1.000
243.073	1.000
244.734	1.000
246.396	1.000
248.059	1.000
249.721	1.000

C IV 1551 data	
-122.876	0.988
-118.023	0.970
-113.171	0.863
-108.296	1.023
-103.432	0.986
-98.580	1.058
-93.727	1.021
-88.875	1.022
-84.023	0.914
-79.147	1.069
-74.295	0.949
-69.443	1.065
-64.591	0.965
-59.739	0.952
-54.886	1.082
-50.034	1.020
-45.147	0.882
-40.295	0.913
-35.443	0.932
-30.590	0.907
-25.738	0.870
-20.886	0.914
-16.034	0.721
-11.146	0.550
-6.294	0.440
-1.442	0.463
3.410	0.267
8.262	0.265
13.115	0.289
17.967	0.200
22.819	0.208
27.695	0.363
32.547	0.568
37.399	0.602
42.251	0.487
47.115	0.445
51.967	0.406
56.819	0.327
61.695	0.576
66.547	0.747
71.399	0.867
76.252	0.874
81.104	0.923
85.956	0.936
90.808	0.948
95.660	0.970
100.513	0.920
105.400	0.941
110.252	0.955
115.104	0.901
119.956	1.033
124.809	0.838
129.661	0.877
134.513	0.968
139.365	0.962
144.217	1.043
149.105	1.025
153.957	0.967
158.809	0.952
163.661	0.949
168.513	1.036
173.366	1.068
178.218	0.953
183.070	1.012
187.922	0.899
192.798	1.006
197.650	1.055
202.514	0.933
207.366	0.935
212.218	1.039
217.070	1.057
221.923	0.970
226.775	1.033

C !$ 1548 3-cloud model	
-124.535	1.000
-122.892	1.000
-121.250	1.000
-119.607	1.000
-117.964	1.000
-116.323	1.000
-114.680	1.000
-113.038	1.000
-111.395	1.000
-109.753	1.000
-108.111	1.000
-106.468	1.000
-104.825	1.000
-103.184	1.000
-101.541	1.000
-99.900	1.000
-98.257	1.000
-96.614	1.000
-94.973	1.000
-93.330	1.000
-91.688	1.000
-90.046	1.000
-88.404	1.000
-86.763	1.000
-85.120	1.000
-83.478	1.000
-81.836	1.000
-80.194	1.000
-78.551	1.000
-76.910	1.000
-75.268	1.000
-73.626	1.000
-71.984	1.000
-70.342	1.000
-68.701	1.000
-67.058	1.000
-65.416	1.000
-63.775	1.000
-62.133	1.000
-60.490	1.000
-58.849	1.000
-57.207	1.000
-55.566	1.000
-53.924	1.000
-52.282	1.000
-50.641	1.000
-48.999	1.000
-47.357	1.000
-45.716	1.000
-44.074	1.000
-42.433	0.999
-40.791	0.999
-39.149	0.998
-37.508	0.997
-35.866	0.996
-34.224	0.994
-32.583	0.991
-30.941	0.987
-29.301	0.982
-27.659	0.975
-26.017	0.965
-24.376	0.951
-22.734	0.934
-21.092	0.912
-19.452	0.885
-17.810	0.853
-16.169	0.815
-14.528	0.773
-12.886	0.728
-11.245	0.681
-9.604	0.634
-7.962	0.590
-6.322	0.550
-4.680	0.515
-3.040	0.487
-1.398	0.466
0.244	0.451
1.884	0.441
3.526	0.433
5.167	0.426
6.807	0.416
8.449	0.401
10.090	0.378
11.731	0.347
13.372	0.313
15.012	0.277
16.654	0.245
18.295	0.221
19.935	0.207
21.577	0.205
23.218	0.217
24.858	0.242
26.499	0.280
28.139	0.329
29.781	0.383
31.422	0.438
33.062	0.487
34.703	0.524
36.344	0.546
37.984	0.552
39.626	0.544
41.266	0.526
42.907	0.502
44.548	0.477
46.188	0.452
47.829	0.432
49.470	0.417
51.110	0.409
52.751	0.408
54.390	0.415
56.031	0.430
57.672	0.453
59.312	0.483
60.953	0.520
62.594	0.562
64.234	0.608
65.874	0.655
67.514	0.703
69.155	0.750
70.796	0.793
72.435	0.833
74.076	0.867
75.717	0.896
77.356	0.921
78.997	0.940
80.637	0.956
82.277	0.968
83.918	0.977
85.557	0.983
87.198	0.988
88.839	0.992
90.478	0.994
92.119	0.996
93.758	0.997
95.399	0.998
97.039	0.999
98.678	0.999
100.319	1.000
101.959	1.000
103.599	1.000
105.239	1.000
106.880	1.000
108.519	1.000
110.159	1.000
111.798	1.000
113.439	1.000
115.079	1.000
116.718	1.000
118.358	1.000
119.999	1.000
121.638	1.000
123.278	1.000
124.917	1.000
126.557	1.000
128.197	1.000
129.836	1.000
131.477	1.000
133.117	1.000
134.756	1.000
136.396	1.000
138.035	1.000
139.675	1.000
141.315	1.000
142.953	1.000
144.593	1.000
146.233	1.000
147.872	1.000
149.512	1.000
151.151	1.000
152.791	1.000
154.431	1.000
156.069	1.000
157.709	1.000
159.349	1.000
160.988	1.000
162.628	1.000
164.266	1.000
165.907	1.000
167.584	1.000
169.263	1.000
170.940	1.000
172.618	1.000
174.295	1.000
175.972	1.000
177.650	1.000
179.327	1.000
181.004	1.000
182.682	1.000
184.359	1.000
186.036	1.000
187.714	1.000
189.391	1.000
191.069	1.000
192.746	1.000
194.423	1.000
196.101	1.000
197.777	1.000
199.455	1.000
201.132	1.000
202.809	1.000
204.487	1.000
206.163	1.000
207.841	1.000
209.518	1.000
211.194	1.000
212.872	1.000
214.549	1.000
216.225	1.000
217.903	1.000
219.580	1.000
221.257	1.000
222.934	1.000
224.610	1.000
226.288	1.000
227.964	1.000
