,design,m,n,P,gamma,method,coverage,bias,model
418,FCCD,3,16,0.75,0.9,CH,0.9823,0.0823,Full
419,FCCD,3,16,0.9,0.9,CH,0.9771,0.0771,Full
420,FCCD,3,16,0.95,0.9,CH,0.9741,0.0741,Full
421,FCCD,3,16,0.75,0.8,CH,0.8884,0.0884,Main
422,FCCD,3,16,0.9,0.8,CH,0.8694,0.0694,Main
423,FCCD,3,16,0.95,0.8,CH,0.8621,0.0621,Main
424,FCCD,3,16,0.75,0.8,CH,0.9483,0.1483,Quadratic
425,FCCD,3,16,0.9,0.8,CH,0.9268,0.1268,Quadratic
426,FCCD,3,16,0.95,0.8,CH,0.9193,0.1193,Quadratic
427,FCCD,3,16,0.75,0.8,CH,0.9258,0.1258,Interaction
428,FCCD,3,16,0.9,0.8,CH,0.9139,0.1139,Interaction
429,FCCD,3,16,0.95,0.8,CH,0.9086,0.1086,Interaction
430,FCCD,3,16,0.75,0.8,CH,0.9571,0.1571,Full
431,FCCD,3,16,0.9,0.8,CH,0.9421,0.1421,Full
432,FCCD,3,16,0.95,0.8,CH,0.9356,0.1356,Full
433,BBD,3,17,0.75,0.95,CH,0.978,0.028,Main
434,BBD,3,17,0.9,0.95,CH,0.9734,0.0234,Main
435,BBD,3,17,0.95,0.95,CH,0.9716,0.0216,Main
436,BBD,3,17,0.75,0.95,CH,0.9912,0.0412,Quadratic
437,BBD,3,17,0.9,0.95,CH,0.9868,0.0368,Quadratic
438,BBD,3,17,0.95,0.95,CH,0.986,0.036,Quadratic
439,BBD,3,17,0.75,0.95,CH,0.9876,0.0376,Interaction
440,BBD,3,17,0.9,0.95,CH,0.985,0.035,Interaction
441,BBD,3,17,0.95,0.95,CH,0.9838,0.0338,Interaction
442,BBD,3,17,0.75,0.95,CH,0.9943,0.0443,Full
443,BBD,3,17,0.9,0.95,CH,0.9925,0.0425,Full
444,BBD,3,17,0.95,0.95,CH,0.9912,0.0412,Full
445,BBD,3,17,0.75,0.9,CH,0.9522,0.0522,Main
446,BBD,3,17,0.9,0.9,CH,0.9418,0.0418,Main
447,BBD,3,17,0.95,0.9,CH,0.9388,0.0388,Main
448,BBD,3,17,0.75,0.9,CH,0.9815,0.0815,Quadratic
449,BBD,3,17,0.9,0.9,CH,0.9741,0.0741,Quadratic
450,BBD,3,17,0.95,0.9,CH,0.9696,0.0696,Quadratic
451,BBD,3,17,0.75,0.9,CH,0.9681,0.0681,Interaction
452,BBD,3,17,0.9,0.9,CH,0.9623,0.0623,Interaction
453,BBD,3,17,0.95,0.9,CH,0.959,0.059,Interaction
454,BBD,3,17,0.75,0.9,CH,0.9874,0.0874,Full
455,BBD,3,17,0.9,0.9,CH,0.9819,0.0819,Full
456,BBD,3,17,0.95,0.9,CH,0.9784,0.0784,Full
457,BBD,3,17,0.75,0.8,CH,0.8903,0.0903,Main
458,BBD,3,17,0.9,0.8,CH,0.8709,0.0709,Main
459,BBD,3,17,0.95,0.8,CH,0.8629,0.0629,Main
460,BBD,3,17,0.75,0.8,CH,0.9573,0.1573,Quadratic
461,BBD,3,17,0.9,0.8,CH,0.9358,0.1358,Quadratic
462,BBD,3,17,0.95,0.8,CH,0.9285,0.1285,Quadratic
463,BBD,3,17,0.75,0.8,CH,0.9254,0.1254,Interaction
464,BBD,3,17,0.9,0.8,CH,0.9161,0.1161,Interaction
465,BBD,3,17,0.95,0.8,CH,0.9117,0.1117,Interaction
466,BBD,3,17,0.75,0.8,CH,0.9664,0.1664,Full
467,BBD,3,17,0.9,0.8,CH,0.9526,0.1526,Full
468,BBD,3,17,0.95,0.8,CH,0.946,0.146,Full
469,CCD,4,29,0.75,0.95,CH,0.9854,0.0354,Main
470,CCD,4,29,0.9,0.95,CH,0.9805,0.0305,Main
471,CCD,4,29,0.95,0.95,CH,0.9791,0.0291,Main
472,CCD,4,29,0.75,0.95,CH,0.9985,0.0485,Quadratic
473,CCD,4,29,0.9,0.95,CH,0.9958,0.0458,Quadratic
474,CCD,4,29,0.95,0.95,CH,0.9938,0.0438,Quadratic
475,CCD,4,29,0.75,0.95,CH,0.9948,0.0448,Interaction
476,CCD,4,29,0.9,0.95,CH,0.9935,0.0435,Interaction
477,CCD,4,29,0.95,0.95,CH,0.9928,0.0428,Interaction
478,CCD,4,29,0.75,0.95,CH,0.9988,0.0488,Full
479,CCD,4,29,0.9,0.95,CH,0.998,0.048,Full
480,CCD,4,29,0.95,0.95,CH,0.9974,0.0474,Full
481,CCD,4,29,0.75,0.9,CH,0.9674,0.0674,Main
482,CCD,4,29,0.9,0.9,CH,0.9588,0.0588,Main
483,CCD,4,29,0.95,0.9,CH,0.9538,0.0538,Main
484,CCD,4,29,0.75,0.9,CH,0.9955,0.0955,Quadratic
485,CCD,4,29,0.9,0.9,CH,0.9887,0.0887,Quadratic
486,CCD,4,29,0.95,0.9,CH,0.9851,0.0851,Quadratic
487,CCD,4,29,0.75,0.9,CH,0.9873,0.0873,Interaction
488,CCD,4,29,0.9,0.9,CH,0.9837,0.0837,Interaction
489,CCD,4,29,0.95,0.9,CH,0.9829,0.0829,Interaction
490,CCD,4,29,0.75,0.9,CH,0.9975,0.0975,Full
491,CCD,4,29,0.9,0.9,CH,0.9947,0.0947,Full
492,CCD,4,29,0.95,0.9,CH,0.9929,0.0929,Full
493,CCD,4,29,0.75,0.8,CH,0.9146,0.1146,Main
494,CCD,4,29,0.9,0.8,CH,0.8963,0.0963,Main
495,CCD,4,29,0.95,0.8,CH,0.8901,0.0901,Main
496,CCD,4,29,0.75,0.8,CH,0.9876,0.1876,Quadratic
497,CCD,4,29,0.9,0.8,CH,0.9751,0.1751,Quadratic
498,CCD,4,29,0.95,0.8,CH,0.9657,0.1657,Quadratic
499,CCD,4,29,0.75,0.8,CH,0.9664,0.1664,Interaction
500,CCD,4,29,0.9,0.8,CH,0.959,0.159,Interaction
501,CCD,4,29,0.95,0.8,CH,0.9549,0.1549,Interaction
502,CCD,4,29,0.75,0.8,CH,0.9928,0.1928,Full
503,CCD,4,29,0.9,0.8,CH,0.9858,0.1858,Full
504,CCD,4,29,0.95,0.8,CH,0.9809,0.1809,Full
505,FCCD,4,26,0.75,0.95,CH,0.9829,0.0329,Main
506,FCCD,4,26,0.9,0.95,CH,0.9778,0.0278,Main
507,FCCD,4,26,0.95,0.95,CH,0.9753,0.0253,Main
508,FCCD,4,26,0.75,0.95,CH,0.9969,0.0469,Quadratic
509,FCCD,4,26,0.9,0.95,CH,0.9945,0.0445,Quadratic
510,FCCD,4,26,0.95,0.95,CH,0.9928,0.0428,Quadratic
511,FCCD,4,26,0.75,0.95,CH,0.9943,0.0443,Interaction
512,FCCD,4,26,0.9,0.95,CH,0.9931,0.0431,Interaction
513,FCCD,4,26,0.95,0.95,CH,0.9924,0.0424,Interaction
514,FCCD,4,26,0.75,0.95,CH,0.9974,0.0474,Full
515,FCCD,4,26,0.9,0.95,CH,0.9957,0.0457,Full
516,FCCD,4,26,0.95,0.95,CH,0.9951,0.0451,Full
517,FCCD,4,26,0.75,0.9,CH,0.9626,0.0626,Main
518,FCCD,4,26,0.9,0.9,CH,0.9521,0.0521,Main
519,FCCD,4,26,0.95,0.9,CH,0.9458,0.0458,Main
520,FCCD,4,26,0.75,0.9,CH,0.9935,0.0935,Quadratic
521,FCCD,4,26,0.9,0.9,CH,0.9872,0.0872,Quadratic
522,FCCD,4,26,0.95,0.9,CH,0.9825,0.0825,Quadratic
523,FCCD,4,26,0.75,0.9,CH,0.9855,0.0855,Interaction
524,FCCD,4,26,0.9,0.9,CH,0.9822,0.0822,Interaction
525,FCCD,4,26,0.95,0.9,CH,0.9802,0.0802,Interaction
526,FCCD,4,26,0.75,0.9,CH,0.9948,0.0948,Full
527,FCCD,4,26,0.9,0.9,CH,0.9917,0.0917,Full
528,FCCD,4,26,0.95,0.9,CH,0.9896,0.0896,Full
529,FCCD,4,26,0.75,0.8,CH,0.9178,0.1178,Main
530,FCCD,4,26,0.9,0.8,CH,0.8928,0.0928,Main
531,FCCD,4,26,0.95,0.8,CH,0.8853,0.0853,Main
532,FCCD,4,26,0.75,0.8,CH,0.9843,0.1843,Quadratic
533,FCCD,4,26,0.9,0.8,CH,0.9693,0.1693,Quadratic
534,FCCD,4,26,0.95,0.8,CH,0.959,0.159,Quadratic
535,FCCD,4,26,0.75,0.8,CH,0.9626,0.1626,Interaction
536,FCCD,4,26,0.9,0.8,CH,0.9537,0.1537,Interaction
537,FCCD,4,26,0.95,0.8,CH,0.9501,0.1501,Interaction
538,FCCD,4,26,0.75,0.8,CH,0.988,0.188,Full
539,FCCD,4,26,0.9,0.8,CH,0.9805,0.1805,Full
540,FCCD,4,26,0.95,0.8,CH,0.9753,0.1753,Full
541,BBD,4,29,0.75,0.95,CH,0.9857,0.0357,Main
542,BBD,4,29,0.9,0.95,CH,0.9809,0.0309,Main
543,BBD,4,29,0.95,0.95,CH,0.979,0.029,Main
544,BBD,4,29,0.75,0.95,CH,0.9981,0.0481,Quadratic
545,BBD,4,29,0.9,0.95,CH,0.9969,0.0469,Quadratic
546,BBD,4,29,0.95,0.95,CH,0.9956,0.0456,Quadratic
547,BBD,4,29,0.75,0.95,CH,0.9951,0.0451,Interaction
548,BBD,4,29,0.9,0.95,CH,0.9941,0.0441,Interaction
549,BBD,4,29,0.95,0.95,CH,0.9937,0.0437,Interaction
550,BBD,4,29,0.75,0.95,CH,0.9992,0.0492,Full
551,BBD,4,29,0.9,0.95,CH,0.9982,0.0482,Full
552,BBD,4,29,0.95,0.95,CH,0.9977,0.0477,Full
553,BBD,4,29,0.75,0.9,CH,0.9664,0.0664,Main
554,BBD,4,29,0.9,0.9,CH,0.9565,0.0565,Main
555,BBD,4,29,0.95,0.9,CH,0.9523,0.0523,Main
556,BBD,4,29,0.75,0.9,CH,0.9964,0.0964,Quadratic
557,BBD,4,29,0.9,0.9,CH,0.9917,0.0917,Quadratic
558,BBD,4,29,0.95,0.9,CH,0.988,0.088,Quadratic
559,BBD,4,29,0.75,0.9,CH,0.9885,0.0885,Interaction
560,BBD,4,29,0.9,0.9,CH,0.9848,0.0848,Interaction
561,BBD,4,29,0.95,0.9,CH,0.9841,0.0841,Interaction
562,BBD,4,29,0.75,0.9,CH,0.9975,0.0975,Full
563,BBD,4,29,0.9,0.9,CH,0.9955,0.0955,Full
564,BBD,4,29,0.95,0.9,CH,0.9944,0.0944,Full
565,BBD,4,29,0.75,0.8,CH,0.9151,0.1151,Main
566,BBD,4,29,0.9,0.8,CH,0.8961,0.0961,Main
567,BBD,4,29,0.95,0.8,CH,0.8905,0.0905,Main
568,BBD,4,29,0.75,0.8,CH,0.9897,0.1897,Quadratic
569,BBD,4,29,0.9,0.8,CH,0.9777,0.1777,Quadratic
570,BBD,4,29,0.95,0.8,CH,0.967,0.167,Quadratic
571,BBD,4,29,0.75,0.8,CH,0.9689,0.1689,Interaction
572,BBD,4,29,0.9,0.8,CH,0.9627,0.1627,Interaction
573,BBD,4,29,0.95,0.8,CH,0.9588,0.1588,Interaction
574,BBD,4,29,0.75,0.8,CH,0.9933,0.1933,Full
575,BBD,4,29,0.9,0.8,CH,0.9888,0.1888,Full
576,BBD,4,29,0.95,0.8,CH,0.9838,0.1838,Full
