GRS	STS	TGS	WTS	SES	TNS	GHH	SBS	WSH	UBT	ASS	SLE	UWS	GRA	SNS	SWG	LES	BUL	AWS	UHH	SPS	PES	BTS	SoakTime	Lat	Lon	DistReef	HardCoral	Zoning	Days
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179.48334	-12.05864333	143.6474667	0	0	Post_zoning	219
0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181.43333	-19.39680667	149.4505	4.692773167	0	Post_zoning	71
0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182.98333	-18.93308	148.1749333	5.152086652	0	Post_zoning	70
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164.35	-19.36425667	149.1826	0	6.666666667	Post_zoning	72
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	-19.06573333	147.9723	3.697743162	0	Post_zoning	70
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164.51667	-18.70152667	146.8040667	12.68581608	0	Pre_zoning	-57
0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182.85001	-18.83586667	148.0532667	1.521671461	0	Post_zoning	70
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169.06667	-14.51918667	145.4453	5.813773101	0	Post_zoning	199
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187.45001	-21.3949	152.6329	3.95785478	0	Post_zoning	508
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165.98334	-21.30660333	152.6836333	6.442902674	0	Post_zoning	508
0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187.51667	-18.88663	148.3977333	0.201482321	50	Pre_zoning	-219
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171.3	-17.99091	146.5057667	3.619796258	0	Pre_zoning	-63
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174.6	-18.1146	146.9328	3.348300725	0	Pre_zoning	-63
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168.61666	-21.89542667	150.0737667	3.592288831	0	Pre_zoning	-211
0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175.05	-20.53742667	150.3353333	3.909240403	20	Pre_zoning	-209
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176.96667	-21.73557	149.9896667	9.565294577	0	Pre_zoning	-211
0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119.86667	-19.953445	149.80775	1.1944492	25	Post_zoning	76
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154.3	-15.04756	145.3363667	5.769260631	10	Post_zoning	207
0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	187.45	-22.11400333	150.9275667	25.93268103	0	Pre_zoning	-50
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175.83333	-22.19496667	150.9277667	26.23250254	0	Pre_zoning	-50
0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	156.73333	-11.23913667	143.1962333	4.272033609	0	Post_zoning	217
0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	173.96667	-13.85414	143.8015667	2.361755734	0	Post_zoning	208
0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185.91667	-16.50513667	145.6355	8.718782448	0	Post_zoning	197
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	161.08333	-13.62147333	143.8972667	0.571195109	0	Post_zoning	222
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187.55	-21.08577333	150.9351	1.702522197	0	Post_zoning	485
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172.61667	-21.23622	150.9443333	0.875510282	0	Post_zoning	484
0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165.26667	-21.01902	151.0332667	4.23411319	0	Pre_zoning	-36
0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187.66667	-21.25622667	152.3845333	1.839995387	0	Post_zoning	509
0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172.63334	-21.06225667	151.1772333	2.971519342	0	Post_zoning	485
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150.66666	-21.39474667	152.4377333	1.262314123	0	Post_zoning	508
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186.11667	-21.34819667	152.3303333	0	3.333333333	Post_zoning	507
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	186.96666	-19.09568	148.1526667	3.587927906	0	Pre_zoning	-217
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162.88334	-19.62439	148.1378667	20.2102871	0	Post_zoning	515
0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	175.10001	-19.08765667	147.4369667	14.12731214	0	Pre_zoning	-221
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174.06668	-21.88203333	150.4645333	12.86115473	0	Post_zoning	84
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164.76666	-21.43224	150.0054667	9.526052644	0	Pre_zoning	-54
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167.05	-21.68705	152.1625667	1.031095754	0	Post_zoning	505
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157.63334	-21.19041333	152.1254	2.402758738	0	Post_zoning	509
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177.08334	-21.63116667	152.0131	0.097390111	0	Post_zoning	505
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187.58333	-24.07237	152.4817333	18.38861955	0	Pre_zoning	-39
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186.23333	-21.66785	151.9477333	2.18204438	0	Post_zoning	98
0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187.46667	-22.14559333	152.3469	0.829072129	0	Post_zoning	502
4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162.83333	-19.42641	149.5817667	0	3.333333333	Post_zoning	513
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165.05001	-21.37624667	152.1284333	1.393759219	0	Post_zoning	506
0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	171.66666	-22.49075	151.4276333	18.69688999	0	Pre_zoning	-49
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176.90001	-21.92325667	151.5670667	16.16024057	0	Post_zoning	79
0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	187.63334	-22.60295	151.4605	7.196366947	0	Pre_zoning	-49
0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	187.7	-22.18353667	151.5310667	45.21818749	0	Post_zoning	488
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160.36667	-21.90101333	151.6692333	14.71403669	0	Post_zoning	98
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161.68333	-21.85552	151.5551667	9.500589269	0	Post_zoning	79
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181.81667	-23.02120667	151.9143333	6.617382912	0	Post_zoning	496
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172.18334	-21.80292333	151.4919	10.27679501	0	Post_zoning	79
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	186.15	-18.97308333	146.7949333	11.18865669	0	Pre_zoning	-66
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141.50001	-14.28192	144.6312	4.83492057	0	Post_zoning	200
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151.19999	-19.53714333	147.6653	22.70741929	0	Pre_zoning	-207
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163.9	-20.42221667	149.9076667	11.67890109	0	Post_zoning	91
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160.3	-20.43757333	149.4667667	30.21258887	0	Post_zoning	92
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177.45	-19.87667	148.8395333	18.14786987	0	Pre_zoning	-208
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167.00001	-21.09422	150.2613333	2.628403037	0	Post_zoning	90
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138.23333	-21.16574	149.6424	11.13002904	0	Post_zoning	89
0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169.98333	-21.27544667	152.0705667	1.799026793	0	Post_zoning	506
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145.13333	-19.81593667	148.2622667	13.78103851	0	Post_zoning	515
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164.15	-19.56597333	147.9271	13.64188364	0	Pre_zoning	-207
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155.06667	-14.03483667	144.6520333	5.202883319	0	Post_zoning	200
0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177.83334	-20.54841	150.4003	1.400302544	0	Pre_zoning	-209
0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119.48333	-19.78436	150.05425	2.148379155	0	Post_zoning	77
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177.48334	-23.21289	151.8807	0.801313097	0	Pre_zoning	-40
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71.21667	-19.64481333	149.3017333	1.51710099	26.66666667	Post_zoning	73
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186.93333	-21.52201667	150.0566667	9.308794875	0	Pre_zoning	-54
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121.08333	-19.54468667	149.385	0.630139752	0	Post_zoning	73
0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184.94999	-13.96584333	143.9741333	1.51446699	0	Post_zoning	201
0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162.33333	-14.00022	144.2397667	4.014303611	0	Post_zoning	203
0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178.29999	-19.93046	148.7456	15.5755219	0	Pre_zoning	-208
0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168.20001	-14.54473667	145.5433667	2.277608532	63.33333333	Pre_zoning	-270
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179.26667	-22.94432333	151.6866	4.363604519	0	Post_zoning	83
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158.60001	-21.11835333	150.1168	10.29663265	0	Post_zoning	90
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174.88334	-21.71586333	150.6604667	22.35053954	0	Pre_zoning	-210
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165.65	-14.17164333	143.9854667	4.460482685	0	Post_zoning	201
0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166.23334	-14.40027333	144.7661	2.15980202	0	Post_zoning	200
0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160.41668	-22.90207667	150.8182333	3.166773364	0	Post_zoning	80
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174.56667	-21.91448667	150.0210667	2.576855389	0	Post_zoning	96
0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	44.21667	-21.77651	149.8884	5.607479331	0	Pre_zoning	-211
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174.63333	-21.54397	152.3453	0.424598671	0	Post_zoning	507
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177.58333	-11.16918	143.3050667	3.663990705	0	Post_zoning	217
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181.85	-21.24515667	151.2550667	3.574600429	0	Post_zoning	485
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135.56666	-22.13392	152.6596333	1.349732512	0	Post_zoning	503
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184.61667	-20.98863333	151.2153	2.428862179	0	Pre_zoning	-36
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187.43333	-20.93017667	150.9601667	2.705211019	6.666666667	Pre_zoning	-36
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166.75001	-18.12627	146.5595333	1.780836477	0	Pre_zoning	-63
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154.88334	-21.69924667	152.3095667	0.088418034	0	Post_zoning	505
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147.93333	-22.28555333	152.5524	1.180730606	0	Post_zoning	502
0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169.1	-21.36144333	151.0457333	2.299590955	0	Post_zoning	484
0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167.96667	-12.28869667	143.6163	2.168683343	10	Post_zoning	221
0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187.58334	-21.30197	151.4756	2.205766012	13.33333333	Pre_zoning	-37
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174.33334	-16.95067	146.3849333	4.942112467	0	Pre_zoning	-64
1	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236.76666	-12.4595075	143.584625	1.081086214	0	Post_zoning	221
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166.81666	-13.04532	143.6726333	1.009002286	0	Post_zoning	209
0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	175.08333	-10.71649333	143.3877	4.088460608	0	Post_zoning	216
0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	168.53334	-10.77439333	143.2867667	3.551224139	0	Post_zoning	216
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158.78334	-10.73335667	143.1184333	2.754931165	0	Post_zoning	216
